2011-09-13 13:52:14.000000 {"type":"join","timestamp":"1315921934.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3","nickname":"andr3","name":"andr3","username":null},"content":"andr3 joined #microformats"}
2011-09-13 14:00:31.000000 {"type":"join","timestamp":"1315922431.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3","nickname":"andr3","name":"andr3","username":null},"content":"andr3 joined #microformats"}
2011-09-13 14:03:36.000000 {"type":"join","timestamp":"1315922616.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"krijnh","nickname":"krijnh","name":"krijnh","username":null},"content":"krijnh joined #microformats"}
2011-09-13 14:06:25.000000 {"type":"message","timestamp":"1315922785.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/VoQn] @yuuAn microformats\u00e3\u0081\u2039RDFa\u00e3\u0081\u00ab\u00e5\u00af\u00be\u00e5\u00bf\u0153\u00e3\u0081\u2014\u00e3\u0081\u00a6\u00e3\u201a\u2039 > Google \u00e3\u0081\u00a7\u00e3\u0081\u00ae\u00e6\u2014\u00a5\u00e4\u00bb\u02dc\u00e3\u0192\u2021\u00e3\u0192\u00bc\u00e3\u201a\u00bf\u00e3\u0192\u017e\u00e3\u0192\u00bc\u00e3\u201a\u00af\u00e3\u201a\u00a2\u00e3\u0192\u0192\u00e3\u0192\u2014"}
2011-09-13 14:17:01.000000 {"type":"join","timestamp":"1315923421.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3","nickname":"andr3","name":"andr3","username":null},"content":"andr3 joined #microformats"}
2011-09-13 14:24:25.000000 {"type":"message","timestamp":"1315923865.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/nhoizey] Afficher un Num\u00e9ro Vert en HTML\/Microformat\/CSS, je l'ai fait, autant le partager : http:\/\/t.co\/7oqxCe8"}
2011-09-13 14:25:44.000000 {"type":"join","timestamp":"1315923944.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3","nickname":"andr3","name":"andr3","username":null},"content":"andr3 joined #microformats"}
2011-09-13 14:36:25.000000 {"type":"message","timestamp":"1315924585.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/Nissone] Merci ! RT @nhoizey : Afficher un Num\u00e9ro Vert en HTML\/Microformat\/CSS, je l'ai fait, autant le partager : http:\/\/t.co\/z3tIpRm"}
2011-09-13 14:50:06.000000 {"type":"join","timestamp":"1315925406.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2011-09-13 15:08:53.000000 {"type":"join","timestamp":"1315926533.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3","nickname":"andr3","name":"andr3","username":null},"content":"andr3 joined #microformats"}
2011-09-13 15:12:25.000000 {"type":"message","timestamp":"1315926745.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/scottmallinson] @cole007 Not sure if this helps Cole - http:\/\/t.co\/NrY1aOj"}
2011-09-13 15:17:10.000000 {"type":"join","timestamp":"1315927030.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3","nickname":"andr3","name":"andr3","username":null},"content":"andr3 joined #microformats"}
2011-09-13 15:18:24.000000 {"type":"message","timestamp":"1315927104.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/christopherdb] @colinbm  @cole007 yeah i reckon thats ok - what about: microformats: http:\/\/t.co\/S2PCVMa"}
2011-09-13 16:06:25.000000 {"type":"message","timestamp":"1315929985.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/acbca] Struggling (again) to work out how best to display hCard tel, fax, org, email etc for machines and people. WANT builder :\/"}
2011-09-13 16:07:00.000000 {"type":"join","timestamp":"1315930020.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"reidab","nickname":"reidab","name":"reidab","username":null},"content":"reidab joined #microformats"}
2011-09-13 16:11:14.000000 {"type":"join","timestamp":"1315930274.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3","nickname":"andr3","name":"andr3","username":null},"content":"andr3 joined #microformats"}
2011-09-13 16:11:39.000000 {"type":"join","timestamp":"1315930299.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Phae","nickname":"Phae","name":"Phae","username":null},"content":"Phae joined #microformats"}
2011-09-13 17:01:33.000000 {"type":"join","timestamp":"1315933293.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"andr3","nickname":"andr3","name":"andr3","username":null},"content":"andr3 joined #microformats"}
2011-09-13 17:13:35.000000 {"type":"join","timestamp":"1315934015.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Askarii","nickname":"Askarii","name":"Askarii","username":null},"content":"Askarii joined #microformats"}
2011-09-13 17:21:31.000000 {"type":"join","timestamp":"1315934491.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"reidab","nickname":"reidab","name":"reidab","username":null},"content":"reidab joined #microformats"}
2011-09-13 17:37:33.000000 {"type":"join","timestamp":"1315935453.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"patcito","nickname":"patcito","name":"patcito","username":null},"content":"patcito joined #microformats"}
2011-09-13 17:44:23.000000 {"type":"join","timestamp":"1315935863.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"kennyluck","nickname":"kennyluck","name":"kennyluck","username":null},"content":"kennyluck joined #microformats"}
2011-09-13 18:02:25.000000 {"type":"message","timestamp":"1315936945.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/SEOcopy] Connections, Relations & Search: What Your Social Graph Says About You #Microformat #Quora #Search http:\/\/t.co\/ZB1ArNp"}
2011-09-13 18:05:33.000000 {"type":"join","timestamp":"1315937133.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"reidab","nickname":"reidab","name":"reidab","username":null},"content":"reidab joined #microformats"}
2011-09-13 18:24:25.000000 {"type":"message","timestamp":"1315938265.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/monishd] Microformats anyone? #SMX"}
2011-09-13 18:31:37.000000 {"type":"join","timestamp":"1315938697.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Soopaman","nickname":"Soopaman","name":"Soopaman","username":null},"content":"Soopaman joined #microformats"}
2011-09-13 18:55:56.000000 {"type":"join","timestamp":"1315940156.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #microformats"}
2011-09-13 18:56:25.000000 {"type":"message","timestamp":"1315940185.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/deadprogrammer] On the Importance of Lube: As a response to meaningless discussions about microformats, standards, widgets and o... http:\/\/t.co\/HUeOvEq"}
2011-09-13 19:04:57.000000 {"type":"join","timestamp":"1315940697.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"jrodgers","nickname":"jrodgers","name":"jrodgers","username":null},"content":"jrodgers joined #microformats"}
2011-09-13 19:16:50.000000 {"type":"join","timestamp":"1315941410.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Askarii1","nickname":"Askarii1","name":"Askarii1","username":null},"content":"Askarii1 joined #microformats"}
2011-09-13 19:48:25.000000 {"type":"message","timestamp":"1315943305.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"[http:\/\/twitter.com\/ashr] @t perhaps maybe now we'll get a {flightinfo} microformat.  Google launches flight search  via @TNOOZ http:\/\/t.co\/yLyANon"}
