2012-02-21 19:09:25.000000 {"type":"join","timestamp":"1329851365.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Soopaman","nickname":"Soopaman","name":"Soopaman","username":null},"content":"Soopaman joined #microformats"}
2012-02-21 19:47:26.000000 {"type":"join","timestamp":"1329853646.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"voxpelli","nickname":"voxpelli","name":"voxpelli","username":null},"content":"voxpelli joined #microformats"}
2012-02-21 20:12:20.000000 {"type":"join","timestamp":"1329855140.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2012-02-21 20:13:03.000000 {"type":"join","timestamp":"1329855183.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"patcito","nickname":"patcito","name":"patcito","username":null},"content":"patcito joined #microformats"}
2012-02-21 20:24:25.000000 {"type":"join","timestamp":"1329855865.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"chiui","nickname":"chiui","name":"chiui","username":null},"content":"chiui joined #microformats"}
2012-02-21 20:37:43.000000 {"type":"join","timestamp":"1329856663.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"jkridner__","nickname":"jkridner__","name":"jkridner__","username":null},"content":"jkridner__ joined #microformats"}
2012-02-21 20:43:34.000000 {"type":"join","timestamp":"1329857014.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Soopaman","nickname":"Soopaman","name":"Soopaman","username":null},"content":"Soopaman joined #microformats"}
2012-02-21 20:59:32.000000 {"type":"join","timestamp":"1329857972.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Chel","nickname":"Chel","name":"Chel","username":null},"content":"Chel joined #microformats"}
2012-02-21 22:48:38.000000 {"type":"join","timestamp":"1329864518.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"patcito","nickname":"patcito","name":"patcito","username":null},"content":"patcito joined #microformats"}
2012-02-21 22:55:22.000000 {"type":"join","timestamp":"1329864922.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"patcito","nickname":"patcito","name":"patcito","username":null},"content":"patcito joined #microformats"}
2012-02-21 23:31:44.000000 {"type":"join","timestamp":"1329867104.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"csarven","nickname":"csarven","name":"csarven","username":null},"content":"csarven joined #microformats"}
