2013-02-25 09:46:00.000000 {"type":"message","timestamp":"1361785560.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307Special:Log\/block\u000314]]\u00034 block\u000310 \u000302\u0003 \u00035*\u0003 \u000303TomMorris\u0003 \u00035*\u0003  \u000310blocked [[\u000302User:Lebron54962\u000310]] with an expiry time of infinite (account creation disabled): Spamming links to external sites\u0003"}
2013-02-25 09:55:39.000000 {"type":"join","timestamp":"1361786139.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"romainneutron","nickname":"romainneutron","name":"romainneutron","username":null},"content":"romainneutron joined #microformats"}
2013-02-25 10:13:36.000000 {"type":"join","timestamp":"1361787216.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"romainneutron","nickname":"romainneutron","name":"romainneutron","username":null},"content":"romainneutron joined #microformats"}
2013-02-25 10:27:17.000000 {"type":"join","timestamp":"1361788037.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"bnvk","nickname":"bnvk","name":"bnvk","username":null},"content":"bnvk joined #microformats"}
2013-02-25 10:30:34.000000 {"type":"join","timestamp":"1361788234.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"jkridner_","nickname":"jkridner_","name":"jkridner_","username":null},"content":"jkridner_ joined #microformats"}
2013-02-25 10:56:34.000000 {"type":"join","timestamp":"1361789794.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"gjones","nickname":"gjones","name":"gjones","username":null},"content":"gjones joined #microformats"}
2013-02-25 11:06:56.000000 {"type":"join","timestamp":"1361790416.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"adactio","nickname":"adactio","name":"adactio","username":null},"content":"adactio joined #microformats"}
2013-02-25 11:07:36.000000 {"type":"join","timestamp":"1361790456.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"adactio","nickname":"adactio","name":"adactio","username":null},"content":"adactio joined #microformats"}
2013-02-25 11:27:49.000000 {"type":"join","timestamp":"1361791669.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"bnvk","nickname":"bnvk","name":"bnvk","username":null},"content":"bnvk joined #microformats"}
2013-02-25 12:08:16.000000 {"type":"join","timestamp":"1361794096.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tobyink","nickname":"tobyink","name":"tobyink","username":null},"content":"tobyink joined #microformats"}
2013-02-25 12:19:23.000000 {"type":"message","timestamp":"1361794763.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307hcard-examples-in-wild\u000314]]\u00034 \u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=hcard-examples-in-wild&diff=50207&oldid=49832&rcid=67692\u0003 \u00035*\u0003 \u000303Hdlider\u0003 \u00035*\u0003 (+123) \u000310\/* new and uncategorized examples *\/ \u0003"}
2013-02-25 12:22:04.000000 {"type":"join","timestamp":"1361794924.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tantek joined #microformats"}
2013-02-25 12:24:20.000000 {"type":"message","timestamp":"1361795060.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"\u000314[[\u000307hcard-examples-in-wild\u000314]]\u00034 \u000310 \u000302http:\/\/microformats.org\/wiki\/index.php?title=hcard-examples-in-wild&diff=50208&oldid=50207&rcid=67693\u0003 \u00035*\u0003 \u000303Tantek\u0003 \u00035*\u0003 (-123) \u000310403 error at the foroimpagados URL, and home page is just Apache default. Undo revision 50207 by [[Special:Contributions\/Hdlider|Hdlider]] ([[User talk:Hdlider|Talk]])\u0003"}
2013-02-25 12:24:49.000000 {"type":"message","timestamp":"1361795089.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tommorris","nickname":"tommorris","name":"tommorris","username":null},"content":"tantek: you'll like this - someone just asked why one might want to publish \"week dates\". my response is just a link to data published I previously added to OpenStreetMap: http:\/\/www.openstreetmap.org\/browse\/way\/40879988"}
2013-02-25 12:25:19.000000 {"type":"message","timestamp":"1361795119.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"tommorris, nice"}
2013-02-25 12:26:08.000000 {"type":"message","timestamp":"1361795168.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tommorris","nickname":"tommorris","name":"tommorris","username":null},"content":"\"nobody ever needs to do that\" - \"okay, here's a real life example on the web\"."}
2013-02-25 12:26:17.000000 {"type":"message","timestamp":"1361795177.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tommorris","nickname":"tommorris","name":"tommorris","username":null},"content":"appreciates the rhetorical power of that part of the microformats process. ;)"}
2013-02-25 12:26:42.000000 {"type":"message","timestamp":"1361795202.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"ooh - please add to the documentation of such cases here: http:\/\/wiki.whatwg.org\/wiki\/Time_element_accepted#year_week_only"}
2013-02-25 12:27:06.000000 {"type":"message","timestamp":"1361795226.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"tantek","nickname":"tantek","name":"tantek","username":null},"content":"indeed, yay science (reasoning based on real world data)"}
2013-02-25 12:27:07.000000 {"type":"message","timestamp":"1361795227.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"woot"}
