2012-06-29 11:50:57.000000 {"type":"message","timestamp":"1340970657.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/searchmartin :: @ysekand totally against the hreview recommendations - Ive never seen an example in the wild of a site getting smacked for schema TOS viol."}
2012-06-29 12:16:32.000000 {"type":"join","timestamp":"1340972192.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #microformats"}
2012-06-29 12:27:04.000000 {"type":"join","timestamp":"1340972824.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"voxpelli-laptop","nickname":"voxpelli-laptop","name":"voxpelli-laptop","username":null},"content":"voxpelli-laptop joined #microformats"}
2012-06-29 12:54:20.000000 {"type":"join","timestamp":"1340974460.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 12:55:19.000000 {"type":"join","timestamp":"1340974519.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 12:56:04.000000 {"type":"join","timestamp":"1340974564.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty_","nickname":"McNulty_","name":"McNulty_","username":null},"content":"McNulty_ joined #microformats"}
2012-06-29 12:56:43.000000 {"type":"join","timestamp":"1340974603.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"McNulty__","nickname":"McNulty__","name":"McNulty__","username":null},"content":"McNulty__ joined #microformats"}
2012-06-29 12:57:20.000000 {"type":"join","timestamp":"1340974640.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"danbri","nickname":"danbri","name":"danbri","username":null},"content":"danbri joined #microformats"}
2012-06-29 13:08:49.000000 {"type":"message","timestamp":"1340975329.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"Loqi","nickname":"Loqi","name":"Loqi","username":null},"content":"http:\/\/twitter.com\/GusLeLapin :: @nhoizey ah c'est @tetue qui a fait tout le travail de mise au propre des commentaires en hReview, elle saura mieux r\u00e9pondre que moi"}
2012-06-29 13:13:44.000000 {"type":"message","timestamp":"1340975624.000000","network":"irc","server":"freenode","channel":{"id":"#microformats","name":"#microformats"},"author":{"uid":"neuro`","nickname":"neuro`","name":"neuro`","username":null},"content":"Hahaha, funny, I actually know the 3 people who are involved in this tweet"}
